name,location,country,date_start,date_end,cost,deadline,link,note
Advanced Scientific Programming in Python - Asia-Pacific,Australian National University,Australia,20/01/2020,27/01/2020,Free,12/12/2018,https://scipy-school.org/,
Measuring and modelling brain states,Sölden,Austria,28/03/2020,29/03/2020,90 euro,12/02/2020,https://www.humanbrainproject.eu/en/education/participatecollaborate/curriculum/workshops/3rd-hbp-curriculum-workshop-series-closure-workshop-measuring-an/,
Latin American School on Computational Neuroscience (LASCON),Neuromat - USP,Brazil,06/01/2020,01/02/2020,Free + lodgment + travel (sometimes),30/09/2019,http://sisne.org/lascon-viii/?lang=en,
Nengo Summer School,University of Waterloo,Canada,07/06/2019,19/06/2019,450 USD,15/12/2020,https://www.nengo.ai/summer-school/,
Deep Learning and Reinforcement Learning Summer School,Montreal,Canada,29/07/2020,06/08/2020,,22/12/2020,https://dlrlsummerschool.ca/,
CoSMo (Computational Sensory-Motor Neuroscience),University of Western Ontario,Canada,02/08/2020,16/08/2020,TBD,01/04/2020,http://www.compneurosci.com/CoSMo/,
IBRO-ICPBR Summer School of Primate Neurobiology,"Institute of Neuroscience, Chinese Academy of Sciences",China,20/07/2020,26/07/2020,Free (including travel costs),31/03/2020,http://ibrosummerschool.ion.ac.cn/,
Workshop on Modelling Brain Signals,"EITN, Paris",France,09/01/2019,10/01/2019,Free,12/12/2018,https://signals.sciencesconf.org/,
European Institute for Theoretical Neuroscience Spring School,"EITN, Paris",France,10/03/2020,19/03/2020,Free,12/12/2018,https://www.eitn.org/index.php/calendar-event/eventdetail/716/-/spring-school?filter_reset=1,
European Computational Motor Control Summer School,Université de Montpellier,France,07/07/2020,13/06/2020,605 EUR,15/04/2020,https://ecmc.edu.umontpellier.fr/,
NeuroBridges 2020,Cluny,France,06/09/2020,17/09/2020,?,01/04/2020,http://decision-making-lab.com/NeuroBridges/neurobridges2020.html,
Summer Institute on Bounded Rationality,"MPIB, Berlin",Germany,09/07/2020,17/06/2020,free (partial travel funding),12/12/2018,https://www.mpib-berlin.mpg.de/research/research-centers/adaptive-rationality/summer-institute,
Organoids: Modeling organ development and disease in 3D culture,Heidelberg ,Germany,21/10/2020,24/10/2020,,12/12/2018,,
Artificial and natural computations for sensory perception: what is the link?,University of Bologna,Italy,07/06/2020,13/06/2020,640 EUR,03/02/2020,https://www.fens.org/Training/FENS-Schools/Summer-School-2020/,
CapoCaccia Neuromorphic Workshop,Sardinia,Italy,27/03/2020,09/05/2020, 500 EUR,29/02/2020,https://ccnw.iniforum.ch/en/event/2020/landingpage/,
Advanced Course on Data Science & Machine Learning,Tuscany,Italy,13/07/2020,17/07/2020,€680,20/02/2020,https://acdl2020.icas.xyz/,
Advanced Scientific Programming in Python - Europe,University of Camerino,Italy,02/09/2020,07/09/2020,Free,01/06/2020,https://python.g-node.org/wiki/applications,
